Index(T&L),Token-00,Token-01,Token-02,Token-03,Token-04,Token-05,Token-06,Token-07,Token-08,Token-09,Token-10,Token-11,Token-12,Token-13,Token-14,Token-15,Token-16,Token-17,Token-18,Token-19,Token-20,Token-21,Token-22,Token-23,Token-24,Token-25,Token-26,Token-27,Token-28,Token-29,Token-30,Token-31
Layer-15,'< a>','< inherently>','< of>',"'<"">'",'<-made>',"'<,>'",'< developed>',"""<'t>""",'< and>','</or>','<st>','< different>','<-scale>','< of>','<st>',"'<,>'",'< It>','<elligence>','< also>','<bring>','< various>','<\r\n>','< such>','< such>','< social>','< and>','< and>','< and>','< and>','</or>','<scape>','< It>'
Layer-16,'< not>','< fundamental>','< of>',"'<"">'",'<-made>','<-based>','< characterized>',"""<'t>""",'< and>','</or>','<ability>','< entire>','<-scale>','< of>','< knowledge>',"'<,>'",'< \n>','<elligence>','< also>','<bring>','< various>','<\r\n>','<ervices>','< such>','< social>',"'<,>'",'< and>','< and>','< and>','</or>','< alike>','< \n>'
Layer-17,'< a>','< complex>','< of>',"'<"">'",'<-made>','<-man>','< characterized>',"""<'t>""",'< and>','</or>','<ive>','< complex>','<-scale>','< of>','< fine>',"'<,>'",'< \n>','<izens>','< also>','<bring>','< various>','<\r\n>','< including>','< \u200b\u200b>','< healthcare>',"'<,>'",'< and>','< and>','< etc>','</or>','<;>','< \n>'
Layer-18,'< a>','< complex>','< of>','<____>','<-made>',"'<,>'",'< have>',"""<'t>""",'< and>','</or>','< complex>','< very>','<-scale>','< of>','< data>',"'<,>'",'< \n>','< also>','< also>','< by>','< various>','< ways>','< including>','< \u200b\u200b>','< healthcare>',"'<,>'",'< etc>','< and>','< etc>','</or>','<.>','< \n\n>'
Layer-19,'< a>','< complex>','< of>','<____>','<-made>',"'<,>'",'< have>',"""<'t>""",'< and>','</or>','< complex>','< large>','< enough>','< of>','< information>',"'<,>'",'< \n>','< also>','< also>','< by>','< various>','< ways>','< including>','< \u200b\u200b>','< healthcare>','< and>','< and>','< and>','< and>','< others>','<.>','< However>'
Layer-20,'< not>','< complex>','< of>','< ______>','<-made>','< that>','< can>','< independently>','< and>','</or>','< complex>','< large>','< enough>','< of>','< information>',"'<,>'",'< It>','< also>','< often>','< to>','< various>','< industries>','< such>','< \u200b\u200b>','< medicine>',"'<,>'",'< education>',"'<,>'",'< and>','< education>','<等多个>','< However>'
Layer-21,'< a>','< type>','< of>','< ______>','<-made>','< that>','< can>','<____>','< and>','</or>','< complex>','< large>','< number>','< of>','< information>',"'<,>'",'< It>','< can>','< also>','< to>','< various>','< industries>','< such>','< \u200b\u200b>','< healthcare>',"'<,>'",'< education>',"'<,>'",'< and>','< even>','<.>','< However>'
Layer-22,'< a>','< powerful>','< of>','< machine>','< intelligence>','< that>','< can>','< language>','< and>','</or>','< information>','< large>','< amount>','< of>','< information>','<.>','< It>','< can>','< also>','< to>','< various>','< applications>','< such>','< as>','< communication>',"'<,>'",'< finance>',"'<,>'",'< and>','< more>','<.>','< However>'
Layer-23,'< a>','< powerful>','< of>','< machine>','< intelligence>','< that>','< can>','< quickly>','< and>','< understand>','< information>','< large>','< amount>','< of>','< information>','< information>','< However>','< can>','< also>','< to>','< many>','< industries>','< such>','< as>','< healthcare>',"'<,>'",'< finance>',"'<,>'",'< and>','< education>','<.>','< However>'
Layer-24,'< a>','< type>','< of>','< machine>','< intelligence>','< that>','< can>','< access>','< and>','< respond>','< information>','< large>','< amount>','< of>','< information>','< information>','< It>','< can>','< capable>','< in>','< various>','< applications>','< such>','< as>','< language>',"'<,>'",'< finance>',"'<,>'",'< and>','< education>','<.>','< However>'
Layer-25,'< a>','< type>','< of>','< machine>','< intelligence>','< that>','< can>','< access>','< and>','< interact>','< language>','< large>','< amount>','< of>','< language>','< information>','< It>','< can>','< often>','< to>','< various>','< applications>','< such>','< as>','< language>',"'<,>'",'< education>',"'<,>'",'< education>','< education>','<.>','< However>'
Layer-26,'< a>','< type>','< of>','< machine>','< intelligence>','< that>','< can>','< access>','< and>','< generate>','< information>','< large>','< amount>','< of>','< information>','< information>','< It>','< has>','< used>','< to>','< various>','< applications>','< such>','< as>','< language>',"'<,>'",'< education>',"'<,>'",'< and>','< education>','<.>','< However>'
Layer-27,'< a>','< type>','< of>','< machine>','< intelligence>','< that>','< can>','< process>','< and>','< process>','< a>','< large>','< amount>','< of>','< text>','<.>','< It>','< can>','< also>','< in>','< various>','< fields>','< such>','< as>','< natural>',"'<,>'",'< finance>',"'<,>'",'< and>','< education>','<.>','< However>'
Layer-28,'< a>','< type>','< of>','< artificial>','< intelligence>','< that>','< can>','< understand>','< and>','< process>','< a>','< large>','< amount>','< of>','< text>','<.>','< It>','< is>','< used>','< in>','< various>','< fields>','< such>','< as>','< healthcare>',"'<,>'",'< finance>',"'<,>'",'< and>','< education>','<.>','< However>'
SameCnt,7,4,19,0,6,8,8,0,13,1,1,9,6,14,1,1,4,0,0,1,4,1,8,6,0,8,1,8,2,5,7,9
